name,address,city,state,website,phone,description,hours,tags,features,wifi_yes_no,outlets_yes_no,seating_type,best_for,noise_level,aesthetic_score,coffee_quality,food_availability,slug,image_url
Felix Roasting Co,"450 Park Ave S",New York,NY,https://felixroastingco.com,,"An incredibly opulent and beautifully designed coffee shop offering creative signature drinks in a maximalist setting.",Mon-Sun 8am-5pm,aesthetic;design;specialty,wifi;design,true,false,mixed,casual;dates,moderate,5.0,4.3,pastries,felix-roasting-co-new-york-ny,https://images.unsplash.com/photo-1497935586351-b67a49e012bf?w=800&h=600&fit=crop&q=80
Devocion,"69 Grand St",Brooklyn,NY,https://www.devocion.com,,"Famous for its stunning interior featuring a massive skylight, leather sofas, and a lush living plant wall.",Mon-Fri 8am-7pm; Sat-Sun 8am-7pm,aesthetic;plants;roaster,wifi;plants,true,true,open,remote work;casual,moderate,5.0,4.8,pastries,devocion-brooklyn-ny,https://images.unsplash.com/photo-1501339847302-ac426a4a7cbb?w=800&h=600&fit=crop&q=80
Maman,"239 Centre St",New York,NY,https://mamannyc.com,,"Rustic French-inspired cafe with beautiful floral decor, vintage furniture, and iconic blue-and-white patterned cups.",Mon-Fri 7:30am-6pm; Sat-Sun 8am-6pm,aesthetic;french;rustic,food;design,true,false,cozy,casual;dates,lively,4.9,4.5,full menu,maman-centre-st-nyc,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=800&h=600&fit=crop&q=80
Maru Coffee,"1936 Hillhurst Ave",Los Angeles,CA,https://www.marucoffee.com,,"Minimalist, wabi-sabi inspired espresso bar with a serene atmosphere, neutral tones, and beautiful ceramicware.",Mon-Sun 7am-5pm,aesthetic;minimalist;specialty,matcha;design,false,false,minimal,casual,quiet,5.0,4.8,pastries,maru-coffee-los-feliz-ca,https://images.unsplash.com/photo-1485871981521-5b1fd3805eee?w=800&h=600&fit=crop&q=80
Dayglow,"3206 Sunset Blvd",Los Angeles,CA,https://dayglow.coffee,,"A highly photogenic, bright neon-lit space in Silver Lake offering globally curated specialty coffee in beautiful packaging.",Mon-Sun 7am-5pm,aesthetic;neon;bright,retail;design,true,false,minimal,casual,moderate,4.9,4.8,pastries,dayglow-silver-lake-ca,https://images.unsplash.com/photo-1531218150217-54595bc2b934?w=800&h=600&fit=crop&q=80
Verve Coffee Roasters,"8925 Melrose Ave",West Hollywood,CA,https://vervecoffee.com,,"A stunning, airy space wrapped in greenery with one of the most beautiful coffee shop patios in LA.",Mon-Sun 7am-6pm,aesthetic;plants;design,wifi;patio,true,true,mixed,casual;remote work,lively,4.9,4.7,pastries;light bites,verve-melrose-ca,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800&h=600&fit=crop&q=80
Sawada Coffee,"112 N Green St",Chicago,IL,https://sawadacoffee.com,,"Industrial-chic vibe with moody lighting, exposed brick, a vintage ping-pong table, and beautiful latte art.",Mon-Sun 8am-4pm,aesthetic;industrial;moody,art;design,true,true,mixed,casual;studying,lively,4.8,4.6,pastries,sawada-coffee-chicago-il,https://images.unsplash.com/photo-1534430480872-3498386e7856?w=800&h=600&fit=crop&q=80
Good Ambler,"216 N Peoria St",Chicago,IL,https://goodambler.com,,"An elegant, impeccably designed bakery and cafe in Fulton Market with stunning pastries and a chic interior.",Mon-Sun 7am-5pm,aesthetic;elegant;bakery,wifi;design,true,true,open,casual;meetings,moderate,4.9,4.6,full menu,good-ambler-chicago-il,https://images.unsplash.com/photo-1502175353174-a7a70e73b362?w=800&h=600&fit=crop&q=80
All Day,"1035 N Miami Ave",Miami,FL,https://alldaymia.com,,"Sleek and incredibly stylish cafe known for its minimalist green neon sign, clean lines, and world-class coffee.",Mon-Sun 8am-3pm,aesthetic;design;brunch,food;design,true,true,mixed,dates;casual,moderate,4.9,4.7,full menu,all-day-miami-fl,https://images.unsplash.com/photo-1619468129361-605ebea04b44?w=800&h=600&fit=crop&q=80
Never Coffee,"4243 SE Belmont St",Portland,OR,https://nevercoffeelab.com,,"A colorful, vibrant, and geometrically designed space that serves highly creative signature lattes.",Mon-Sun 7am-4pm,aesthetic;colorful;creative,signature drinks,true,false,cozy,casual;dates,moderate,4.9,4.4,pastries,never-coffee-portland-or,https://images.unsplash.com/photo-1442512595302-873337c6ba02?w=800&h=600&fit=crop&q=80
Wrecking Ball Coffee Roasters,"2271 Union St",San Francisco,CA,https://wreckingballcoffee.com,,"Famous for its iconic pineapple wallpaper and beautifully bright, clean aesthetic in Cow Hollow.",Mon-Sun 7am-5pm,aesthetic;wallpaper;bright,design,false,false,minimal,casual,quiet,4.8,4.6,pastries,wrecking-ball-sf-ca,https://images.unsplash.com/photo-1497935586351-b67a49e012bf?w=800&h=600&fit=crop&q=80
Sightglass Coffee,"270 7th St",San Francisco,CA,https://sightglasscoffee.com,,"A massive, breathtaking two-story roastery with an industrial-steampunk aesthetic and vintage roasting equipment.",Mon-Sun 7am-6pm,aesthetic;industrial;massive,bike parking;design,true,false,open,casual;meetings,moderate,4.9,4.7,pastries,sightglass-soma-sf,https://images.unsplash.com/photo-1501339847302-ac426a4a7cbb?w=800&h=600&fit=crop&q=80
Onyx Coffee Lab,"101 E Walnut St",Rogers,AR,https://onyxcoffeelab.com,,"A jaw-droppingly gorgeous headquarters featuring a mix of modern pinks, blacks, and incredible architectural details.",Mon-Sun 6:30am-6pm,aesthetic;award-winning;stunning,wifi;design,true,true,open,casual;remote work,moderate,5.0,5.0,pastries;food,onyx-rogers-ar,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=800&h=600&fit=crop&q=80
Monarch Coffee,"3550 Broadway Blvd",Kansas City,MO,https://monarchcoffeekc.com,,"An incredibly elegant, high-end cafe with a stunning white and gold interior and meticulously crafted drinks.",Mon-Sun 7am-5pm,aesthetic;elegant;luxury,art;design,true,false,mixed,dates;casual,quiet,5.0,4.7,pastries,monarch-kansas-city-mo,https://images.unsplash.com/photo-1485871981521-5b1fd3805eee?w=800&h=600&fit=crop&q=80
Mañana,"1603 S Congress Ave",Austin,TX,https://mananaaustin.com,,"Located in the South Congress Hotel, this bright, airy space features beautiful blue tiling and lush plants.",Mon-Sun 7am-7pm,aesthetic;hotel;bright,wifi;patio,true,true,mixed,casual;studying,moderate,4.8,4.5,pastries;light bites,manana-austin-tx,https://images.unsplash.com/photo-1531218150217-54595bc2b934?w=800&h=600&fit=crop&q=80
Try Hard Coffee,"1115 E 11th St",Austin,TX,https://tryhardcoffee.com,,"A retro, vibrant space with a 70s aesthetic, spinning vinyl records and serving tacos with great coffee.",Mon-Sun 7am-3pm,aesthetic;retro;vinyl,patio;tacos,true,true,outdoor,casual;dates,lively,4.8,4.5,full menu,try-hard-austin-tx,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800&h=600&fit=crop&q=80
Chrome Yellow Trading Co,"501 Edgewood Ave SE",Atlanta,GA,https://chromeyellowtradingco.com,,"A beautifully designed, industrial-meets-modern coffee and dry goods shop with a highly curated aesthetic.",Mon-Sun 8am-5pm,aesthetic;industrial;retail,wifi;outlets,true,true,mixed,casual;remote work,moderate,4.8,4.6,pastries,chrome-yellow-atlanta-ga,https://images.unsplash.com/photo-1534430480872-3498386e7856?w=800&h=600&fit=crop&q=80
Methodical Coffee,"147 E Washington St",Greenville,SC,https://methodicalcoffee.com,,"A gorgeous cafe bringing high-end roasting and beautiful floral-inspired design to a multi-level space.",Mon-Sun 7am-5pm,aesthetic;design;elegant,wifi;outlets,true,true,mixed,casual;dates,moderate,4.9,4.8,pastries,methodical-greenville-sc,https://images.unsplash.com/photo-1502175353174-a7a70e73b362?w=800&h=600&fit=crop&q=80
Barista Parlor,"519B Gallatin Ave",Nashville,TN,https://baristaparlor.com,,"Stunningly designed industrial space operating out of a converted garage, treating coffee preparation like high art.",Mon-Sun 7am-5pm,aesthetic;industrial;art,wifi;art,true,true,open,casual;meetings,lively,4.9,4.5,pastries;sandwiches,barista-parlor-nashville-tn,https://images.unsplash.com/photo-1619468129361-605ebea04b44?w=800&h=600&fit=crop&q=80
Sey Coffee,"18 Grattan St",Brooklyn,NY,https://www.seycoffee.com,,"A beautifully designed, light-filled industrial space draped in hanging plants in the heart of Bushwick.",Mon-Fri 7am-5pm; Sat-Sun 8am-5pm,aesthetic;plants;skylight,wifi;plants,true,false,mixed,casual;studying,quiet,4.9,5.0,pastries,sey-coffee-brooklyn-ny,https://images.unsplash.com/photo-1442512595302-873337c6ba02?w=800&h=600&fit=crop&q=80
