name,address,city,state,website,phone,description,hours,tags,features,wifi_yes_no,outlets_yes_no,seating_type,best_for,noise_level,aesthetic_score,coffee_quality,food_availability,slug,image_url
Devocion,"69 Grand St",Brooklyn,NY,https://www.devocion.com,,"Known for sourcing beans from Colombia and roasting them in Brooklyn within 10 days. The Williamsburg location features a stunning living wall.",Mon-Fri 8am-7pm; Sat-Sun 8am-7pm,specialty;roaster;colombian,wifi;outlets;plants,true,true,open,remote work;casual,moderate,4.9,4.8,pastries,devocion-brooklyn-ny,
Sey Coffee,"18 Grattan St",Brooklyn,NY,https://www.seycoffee.com,,"A beautiful light-filled space serving some of the most meticulously sourced and roasted light-roast coffees in the world.",Mon-Fri 7am-5pm; Sat-Sun 8am-5pm,specialty;roaster;light roast,wifi;skylight;plants,true,false,mixed,casual;studying,quiet,4.8,5.0,pastries,sey-coffee-brooklyn-ny,
Suited,"45 John St",New York,NY,https://www.suitednyc.com,,"A meticulously curated multi-roaster cafe in the Financial District pulling excellent espresso.",Mon-Fri 7am-4pm,multi-roaster;specialty,wifi,false,false,cozy,casual;meetings,moderate,4.5,4.9,pastries;sandwiches,suited-new-york-ny,
Black Fox Coffee,"70 Pine St",New York,NY,https://blackfoxcoffee.com,,"Premium multi-roaster cafe in a historic FiDi building offering exceptional quality and service.",Mon-Fri 7am-5pm,multi-roaster;specialty,wifi;outlets,true,true,mixed,meetings;casual,moderate,4.7,4.8,full menu,black-fox-coffee-new-york-ny,
La Cabra,"152 2nd Ave",New York,NY,https://www.lacabra.dk,,"The renowned Danish roaster's NYC outpost offering world-class coffee and incredible Nordic pastries.",Mon-Sun 8am-6pm,roaster;bakery;nordic,pastries;pourover,false,false,cozy,casual;dates,moderate,4.8,4.9,pastries,la-cabra-new-york-ny,
Felix Roasting Co,"450 Park Ave S",New York,NY,https://felixroastingco.com,,"An incredibly opulent and beautifully designed coffee shop offering creative signature drinks.",Mon-Sun 8am-5pm,specialty;design;signature drinks,wifi;design,true,false,mixed,casual;dates,moderate,5.0,4.3,pastries,felix-roasting-co-new-york-ny,
Coffee Project NY,"239 E 5th St",New York,NY,https://coffeeprojectny.com,,"Known for their deconstructed latte and innovative approaches to specialty coffee.",Mon-Sun 8am-5pm,specialty;innovative;roaster,wifi;outlets,true,true,cozy,studying;casual,quiet,4.5,4.7,pastries,coffee-project-new-york-ny,
Maru Coffee,"1936 Hillhurst Ave",Los Angeles,CA,https://www.marucoffee.com,,"Minimalist espresso bar in Los Feliz focused on high-quality beans and a serene atmosphere.",Mon-Sun 7am-5pm,minimalist;specialty;roaster,pourover;matcha,false,false,minimal,casual,quiet,4.9,4.8,pastries,maru-coffee-los-angeles-ca,
Go Get Em Tiger,"230 N Larchmont Blvd",Los Angeles,CA,https://gget.com,,"Vibrant LA chainlet known for great espresso, homemade almond macadamia milk, and excellent food.",Mon-Sun 6am-6pm,specialty;roaster;brunch,outdoor seating;food,true,false,outdoor;mixed,casual;meetings,lively,4.6,4.6,full menu,go-get-em-tiger-los-angeles-ca,
Verve Coffee Roasters,"8925 Melrose Ave",West Hollywood,CA,https://www.vervecoffee.com,,"Santa Cruz-born roaster with a stunning, airy West Hollywood space featuring a beautiful patio.",Mon-Sun 7am-6pm,specialty;roaster;design,wifi;outlets;patio,true,true,mixed,remote work;casual,moderate,4.8,4.7,pastries;light bites,verve-coffee-west-hollywood-ca,
Kumquat Coffee Co,"4936 York Blvd",Los Angeles,CA,https://www.kumquatcoffee.com,,"A tiny but mighty multi-roaster in Highland Park bringing in beans from top roasters globally.",Mon-Sun 7am-4pm,multi-roaster;specialty,pourover,true,false,cozy,casual,quiet,4.5,4.9,pastries,kumquat-coffee-los-angeles-ca,
Endorffeine,"727 N Broadway",Los Angeles,CA,https://endorffeine.coffee,,"Chef-driven minimalist coffee bar inside Far East Plaza in Chinatown, helmed by a former biochemist.",Thu-Sun 9am-2pm,minimalist;chef-driven,pourover;matcha,false,false,bar,casual,quiet,4.7,5.0,none,endorffeine-los-angeles-ca,
Dayglow,"3206 Sunset Blvd",Los Angeles,CA,https://dayglow.coffee,,"A bright, neon-lit multi-roaster featuring a curated subscription service and beans from around the world.",Mon-Sun 7am-5pm,multi-roaster;specialty;retail,retail,true,false,minimal,casual,moderate,4.8,4.8,pastries,dayglow-los-angeles-ca,
Stereoscope Coffee,"10008 National Blvd",Los Angeles,CA,https://stereoscopecoffee.com,,"Sleek cafe featuring high-end roasting and an impressive ceiling art installation.",Mon-Sun 7am-5pm,specialty;roaster;design,wifi;art,true,true,mixed,remote work;casual,moderate,4.9,4.7,pastries,stereoscope-los-angeles-ca,
Metric Coffee,"2021 W Fulton St",Chicago,IL,https://metriccoffee.com,,"Industrial-chic cafe and roasting facility serving incredibly sourced and roasted coffees.",Mon-Fri 7am-3pm; Sat-Sun 8am-3pm,specialty;roaster;industrial,patio,true,false,industrial,casual,moderate,4.6,4.9,pastries,metric-coffee-chicago-il,
Sawada Coffee,"112 N Green St",Chicago,IL,https://sawadacoffee.com,,"Owned by latte art champion Hiroshi Sawada, known for the military latte and a grungy-cool vibe.",Mon-Sun 8am-4pm,latte art;matcha;industrial,ping pong;art,true,true,mixed,casual;studying,lively,4.8,4.6,pastries,sawada-coffee-chicago-il,
Dark Matter Coffee,"738 N Western Ave",Chicago,IL,https://www.darkmattercoffee.com,,"Psychedelic-themed roaster known for unique barrel-aged coffees and intense flavor profiles.",Mon-Fri 6am-6pm; Sat-Sun 7am-6pm,specialty;roaster;quirky,barrel-aged,false,false,cozy,casual,lively,4.5,4.5,pastries,dark-matter-chicago-il,
The Wormhole Coffee,"1462 N Milwaukee Ave",Chicago,IL,https://www.thewormhole.us,,"An 80s-themed coffee shop in Wicker Park complete with a DeLorean, serving Halfwit Coffee.",Mon-Sun 7am-7pm,80s theme;specialty,wifi;outlets;nostalgia,true,true,mixed,remote work;studying,moderate,4.7,4.6,pastries,the-wormhole-chicago-il,
Four Letter Word,"3022 W Diversey Ave",Chicago,IL,https://www.4lwcoffee.com,,"A tiny, beautifully designed spot in Logan Square serving exceptional single-origin coffees.",Mon-Sun 8am-2pm,specialty;roaster;minimalist,pourover,false,false,cozy,casual,quiet,4.6,4.8,pastries,four-letter-word-chicago-il,
Gaslight Coffee Roasters,"2385 N Milwaukee Ave",Chicago,IL,https://gaslightcoffeeroasters.com,,"Rustic-chic corner cafe in Logan Square with great house-roasted coffee and an excellent food menu.",Mon-Sun 7:30am-5pm,specialty;roaster;rustic,wifi;food,true,true,mixed,studying;casual,moderate,4.6,4.6,full menu,gaslight-coffee-chicago-il,
Coava Coffee Roasters,"1300 SE Grand Ave",Portland,OR,https://coavacoffee.com,,"A massive, beautiful industrial space shared with a bamboo design company, serving excellent coffee.",Mon-Sun 7am-6pm,specialty;roaster;industrial,wifi;outlets,true,true,open,remote work;meetings,moderate,4.8,4.8,pastries,coava-coffee-portland-or,
Heart Coffee,"2211 E Burnside St",Portland,OR,https://www.heartroasters.com,,"Pioneers of light roasting in Portland, serving exceptional espresso and pour-overs in a minimalist space.",Mon-Sun 7am-5pm,specialty;roaster;light roast,wifi;outdoor seating,true,true,mixed,casual;studying,moderate,4.6,4.9,pastries,heart-coffee-portland-or,
Proud Mary Coffee,"2012 NE Alberta St",Portland,OR,https://proudmarycoffee.com,,"Melbourne-based roaster bringing Australian cafe culture, incredible food, and high-end coffee to Portland.",Mon-Sun 8am-4pm,specialty;roaster;australian,food;table service,false,false,mixed,casual;dates,lively,4.7,4.8,full menu,proud-mary-portland-or,
Push X Pull,"821 SE Stark St",Portland,OR,https://pushxpullcoffee.com,,"Small-batch roaster focusing on natural processed coffees in a funky, welcoming space.",Mon-Sun 8am-3pm,specialty;roaster;natural process,wifi;outlets,true,true,cozy,casual;remote work,moderate,4.5,4.7,pastries,push-x-pull-portland-or,
Never Coffee,"4243 SE Belmont St",Portland,OR,https://nevercoffeelab.com,,"A colorful, vibrant cafe known for highly creative and delicious signature lattes.",Mon-Sun 7am-4pm,specialty;creative;design,signature drinks,true,false,cozy,casual;dates,moderate,4.8,4.4,pastries,never-coffee-portland-or,
Espresso Vivace,"227 Yale Ave N",Seattle,WA,https://espressovivace.com,,"A Seattle institution heavily influential in the development of American latte art and espresso roasting.",Mon-Sun 6am-6pm,classic;roaster;espresso,wifi,true,true,mixed,studying;casual,moderate,4.4,4.7,pastries,espresso-vivace-seattle-wa,
Anchorhead Coffee,"1600 7th Ave",Seattle,WA,https://anchorheadcoffee.com,,"Sleek downtown cafe serving great coffee and their famous quaffle (croissant waffle).",Mon-Fri 7am-5pm; Sat-Sun 8am-4pm,specialty;roaster,wifi;outlets,true,true,mixed,remote work;casual,lively,4.6,4.5,pastries,anchorhead-coffee-seattle-wa,
Elm Coffee Roasters,"240 2nd Ave S",Seattle,WA,https://elmcoffeeroasters.com,,"Bright and airy roastery in Pioneer Square focused on light-roasted, single-origin coffees.",Mon-Sun 8am-3pm,specialty;roaster;light roast,wifi;outlets,true,true,open,remote work;casual,quiet,4.7,4.8,pastries,elm-coffee-seattle-wa,
Milstead & Co,"314 N 34th St",Seattle,WA,https://milsteadandco.com,,"Top-tier multi-roaster cafe in Fremont offering an impressive rotation of the country's best beans.",Mon-Sun 7am-5pm,multi-roaster;specialty,wifi;outlets,true,true,mixed,remote work;casual,moderate,4.5,4.8,pastries,milstead-seattle-wa,
Ghost Alley Espresso,"1499 Post Alley",Seattle,WA,https://ghostalleyespresso.com,,"Tiny, charming espresso stand near Pike Place Market known for turmeric mochas and friendly service.",Mon-Sun 7am-4pm,espresso stand;cozy,takeaway,false,false,minimal,casual,moderate,4.6,4.4,pastries,ghost-alley-seattle-wa,
Houndstooth Coffee,"4200 N Lamar Blvd",Austin,TX,https://houndstoothcoffee.com,,"A cornerstone of the Austin specialty coffee scene, serving beans from Tweed Coffee Roasters.",Mon-Sun 6:30am-7pm,specialty;multi-roaster,wifi;outlets,true,true,mixed,remote work;studying,moderate,4.5,4.7,pastries,houndstooth-austin-tx,
Fleet Coffee,"2427 Webberville Rd",Austin,TX,https://fleetcoffee.com,,"A tiny East Austin shop known for incredibly creative signature drinks and excellent multi-roaster espresso.",Mon-Sun 7am-5pm,multi-roaster;creative,signature drinks,true,false,cozy,casual,moderate,4.6,4.8,pastries,fleet-coffee-austin-tx,
Try Hard Coffee,"1115 E 11th St",Austin,TX,https://tryhardcoffee.com,,"A vibrant roaster with a retro vibe, spinning vinyl records and serving great tacos alongside coffee.",Mon-Sun 7am-3pm,specialty;roaster;vinyl,patio;tacos,true,true,outdoor,casual;dates,lively,4.8,4.5,full menu,try-hard-austin-tx,
Desnudo Coffee,"2505 Webberville Rd",Austin,TX,https://desnudocoffee.com,,"A beloved food truck operation serving meticulously sourced Colombian coffee with incredible hospitality.",Mon-Sun 7am-4pm,food truck;colombian,outdoor seating,false,false,outdoor,casual,moderate,4.7,4.8,pastries,desnudo-austin-tx,
Flat Track Coffee,"1619 E Cesar Chavez St",Austin,TX,https://flattrackcoffee.com,,"Coffee roaster and bike shop hybrid offering excellent coffee in a gritty, relaxed East Austin environment.",Mon-Sun 7am-5pm,specialty;roaster;bike shop,wifi;outlets,true,true,mixed,casual;remote work,moderate,4.5,4.6,pastries,flat-track-austin-tx,
Sweet Bloom Coffee Roasters,"1619 Reed St",Lakewood,CO,https://sweetbloomcoffee.com,,"One of the most respected roasters in the country, offering beautiful coffees in a welcoming space.",Mon-Sun 7am-4pm,specialty;roaster,wifi;outlets,true,true,open,remote work;casual,quiet,4.7,4.9,pastries,sweet-bloom-lakewood-co,
Corvus Coffee Roasters,"1740 S Broadway",Denver,CO,https://www.corvuscoffee.com,,"Artisan roaster working directly with farmers, operating out of an industrial-chic space on South Broadway.",Mon-Sun 6:30am-6pm,specialty;roaster;industrial,wifi;outlets,true,true,mixed,remote work;studying,moderate,4.6,4.7,pastries,corvus-coffee-denver-co,
Huckleberry Roasters,"4301 Pecos St",Denver,CO,https://huckleberryroasters.com,,"A colorful, community-focused roaster in Sunnyside offering great coffee and a vibrant patio.",Mon-Sun 7am-5pm,specialty;roaster;community,wifi;patio,true,true,mixed,casual;remote work,lively,4.7,4.6,pastries,huckleberry-denver-co,
Crema Coffee House,"2828 Larimer St",Denver,CO,https://cremacoffeehouse.net,,"A RiNo neighborhood staple featuring eclectic art, a multi-roaster lineup, and a legendary sweet potato waffle.",Mon-Sun 7am-5pm,multi-roaster;art;food,patio;food,true,true,mixed,casual;meetings,lively,4.8,4.6,full menu,crema-denver-co,
